Block,Variable,Code,Type,Unit,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Monetary,Broad money,M2,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332387805.27,430117725.01,667193243.9799999,948080247.34,1165963684.95,1437311251.78,1666389914.8245487
Monetary,Narrow money,M1,Collect,USD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Monetary,Reserve money,RMONEY,Collect,USD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Monetary,Currency outside banks,CURR,Collect,USD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Monetary,Demand deposits,DEM_DEP,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332387805.27,430117725.01,667193243.9799999,948080247.3399999,1164266607.9699998,1430907612.81,1651438513.074549
Monetary,Time deposits,TIME_DEP,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Monetary,Total deposits,TOT_DEP,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332387805.27,430117725.01,667193243.9799999,948080247.3399999,1164266607.9699998,1430907612.81,1651438513.074549
Monetary,Credit to private sector,PSC,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161431295.56,155628874.51,145772233.603,222701061.35,293351391.42,404026430.9804999,472648326.60074353
Monetary,Credit to government,CGOV,Collect,USD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Monetary,Net foreign assets,NFA,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98513018.28892994,148605538.58516878,107815436.81814381,394554312.02374667,494680495.16184,968205771.41172,1179011107.4488492
Monetary,Net domestic assets,NDA,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233874787.06876454,281512188.4620238,559378516.591522,553525936.2021265,671283191.7630001,469105481.31133515,487444940.95240104
Monetary,Net domestic credit,NDC,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132745114.6599455,130933824.9253926,527947384.2596658,639308100.1458732,690474908.72484,474988539.86921275,584150429.3232106
Monetary,Net claims on government,NCGOV,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-52832963.55329,-78117278.07,301750167.35999995,315717898.02,290158642.45,-83703361.07,-101919867.56
Monetary,Net claims on private sector,NCPS,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184918891.10937876,208415609.44558954,225601971.86890435,322680826.61012894,399118397.835194,555272808.2560508,649925437.5632106
Monetary,Other items net,OIN,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101129672.40881902,150578363.53663117,31431132.331856135,-85782163.94374664,-19191716.961839914,-5883058.557877575,-96705488.37080953
Monetary,Policy rate,POLICY_RATE,Collect,%,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary,Interbank rate,IBR,Collect,%,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary,Lending rate,LEND_RATE,Collect,%,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary,Deposit rate,DEP_RATE,Collect,%,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary,Broad money growth,M2_G,Compute,%,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary,Private credit growth,PSC_G,Compute,%,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary,Real private sector credit,RPSC,Compute,Constant prices,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
